integer overflow
 n                  factorial(kind=4)
           2           2
           3           6
           4          24
           5         120
           6         720
           7        5040
           8       40320
           9      362880
          10     3628800
          11    39916800
          12   479001600
          13  1932053504
          14  1278945280
 overflow at n =          14
 
 loss of signicance (kind =4)
  small               big               sum
   1.00000000       1.00000000       2.00000000    
  0.500000000       1.00000000       1.50000000    
  0.250000000       1.00000000       1.25000000    
  0.125000000       1.00000000       1.12500000    
   6.25000000E-02   1.00000000       1.06250000    
   3.12500000E-02   1.00000000       1.03125000    
   1.56250000E-02   1.00000000       1.01562500    
   7.81250000E-03   1.00000000       1.00781250    
   3.90625000E-03   1.00000000       1.00390625    
   1.95312500E-03   1.00000000       1.00195312    
   9.76562500E-04   1.00000000       1.00097656    
   4.88281250E-04   1.00000000       1.00048828    
   2.44140625E-04   1.00000000       1.00024414    
   1.22070312E-04   1.00000000       1.00012207    
   6.10351562E-05   1.00000000       1.00006104    
   3.05175781E-05   1.00000000       1.00003052    
   1.52587891E-05   1.00000000       1.00001526    
   7.62939453E-06   1.00000000       1.00000763    
   3.81469727E-06   1.00000000       1.00000381    
   1.90734863E-06   1.00000000       1.00000191    
   9.53674316E-07   1.00000000       1.00000095    
   4.76837158E-07   1.00000000       1.00000048    
   2.38418579E-07   1.00000000       1.00000024    
   1.19209290E-07   1.00000000       1.00000012    
   5.96046448E-08   1.00000000       1.00000000    
 Addition has no effect          25
